City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,guaymate,18.5879,-68.9787,25.83,89,40,0.0,DO,1687224129
288,east ballina,-28.8667,153.5833,18.22,40,33,4.42,AU,1687224130
289,nelson,-41.2833,173.2833,15.72,75,19,1.34,NZ,1687224130
290,albert lea,43.648,-93.3683,29.01,51,0,2.06,US,1687224117
291,labrador city,52.9463,-66.9114,13.11,61,100,1.41,CA,1687223478
292,barra de santo antonio,-9.4047,-35.5072,23.6,84,6,2.79,BR,1687224131
293,cloquet,46.7216,-92.4594,20.66,67,0,3.6,US,1687224131
294,bada,51.392,109.8717,19.62,44,97,1.11,RU,1687224131
295,palu,-0.8917,119.8707,25.88,89,98,0.74,ID,1687224131
296,tromso,69.6496,18.957,14.1,76,75,1.54,NO,1687223713
297,dubbo,-32.25,148.6167,8.07,87,40,1.54,AU,1687223668
298,bharatpur,27.2167,77.4833,28.24,77,64,4.17,IN,1687224123
299,tingi,-11.3,35.0333,13.34,68,0,1.47,TZ,1687224132
300,lebu,-37.6167,-73.65,11.21,84,100,1.7,CL,1687223658
301,bandarbeyla,9.4942,50.8122,24.06,84,48,10.8,SO,1687223609
302,egilsstadir,65.2653,-14.3948,7.95,87,100,4.12,IS,1687223631
303,bouca,6.5105,18.2733,20.04,96,100,1.07,CF,1687224133
304,papao,-17.75,-149.55,28.82,79,0,3.66,PF,1687223639
305,ostersund,63.1792,14.6357,17.01,31,100,3.6,SE,1687223716
306,mata-utu,-13.2816,-176.1745,27.25,76,56,6.11,WF,1687224133
307,minot,48.2325,-101.2963,26.12,53,0,4.12,US,1687224133
308,portland,45.5234,-122.6762,16.96,80,75,2.57,US,1687223628
309,padang,-0.9492,100.3543,26.03,76,100,1.2,ID,1687224134
310,hilo,19.7297,-155.09,27.38,83,100,4.12,US,1687223649
311,shiogama,38.3167,141.0333,21.99,64,91,2.63,JP,1687224134
312,tanvald,50.7374,15.3059,19.18,79,100,1.36,CZ,1687224134
313,tumayr,25.7039,45.868,28.04,17,10,2.48,SA,1687224135
314,sokoni,-6.4333,39.55,25.7,75,0,4.81,TZ,1687223711
315,bikenibeu village,1.3673,173.1241,29.98,74,75,2.06,KI,1687223659
316,la cruz,23.9167,-106.9,28.92,60,84,2.78,MX,1687224135
317,bahia blanca,-38.7196,-62.2724,9.34,98,100,2.68,AR,1687224135
318,wakkanai,45.4094,141.6739,17.99,68,20,5.14,JP,1687224136
319,maceio,-9.6658,-35.7353,23.69,100,75,3.09,BR,1687224136
320,brookings,44.3114,-96.7984,32.19,43,0,6.69,US,1687223649
321,buala,-8.145,159.5921,29.46,70,88,0.85,SB,1687224136
322,alice springs,-23.7,133.8833,18.45,31,100,3.09,AU,1687223648
323,volcan,8.7667,-82.6333,19.06,95,100,0.89,PA,1687224039
324,mont-dore,-22.2833,166.5833,26.99,99,14,1.46,NC,1687224137
325,jodiya bandar,22.7167,70.2833,28.63,77,65,7.14,IN,1687224137
326,zabaykal'sk,49.6333,117.3167,23.93,32,0,7.09,RU,1687224137
327,puerto aysen,-45.4,-72.7,-2.38,93,8,1.26,CL,1687224138
328,camargo,27.6667,-105.1667,37.22,14,100,1.1,MX,1687224138
329,nemuro,43.3236,145.575,12.01,77,33,1.09,JP,1687223610
330,aasiaat,68.7098,-52.8699,2.61,83,100,2.22,GL,1687223642
331,beau vallon,-20.4189,57.6953,22.13,73,40,4.12,MU,1687224138
332,jiuquan,39.7432,98.5174,24.7,15,100,1.35,CN,1687224138
333,beichengqu,40.4394,113.1536,20.91,36,0,8.19,CN,1687224139
334,tres passos,-27.4556,-53.9319,11.76,84,100,1.55,BR,1687224139
335,ixtapa,20.7,-105.2,30.13,70,0,5.14,MX,1687224139
336,balqash,46.8481,74.995,23.33,49,40,6.0,KZ,1687224139
337,hamilton,39.1834,-84.5333,21.48,91,100,5.14,US,1687223476
338,bogale,16.2833,95.4,26.51,87,100,2.2,MM,1687224140
339,tsiombe,-25.3,45.4833,16.37,74,0,2.88,MG,1687223597
340,yanam,16.7333,82.2167,29.88,80,17,1.49,IN,1687224140
341,dadukou,26.5479,101.7054,23.53,76,81,1.42,CN,1687224140
342,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.03,GF,1687223607
343,formosa do rio preto,-11.0483,-45.1931,22.06,51,9,1.55,BR,1687224141
344,imbituba,-28.24,-48.6703,13.19,85,100,4.92,BR,1687224141
345,paradip garh,20.3167,86.6167,29.76,81,100,5.91,IN,1687224141
346,chibougamau,49.9168,-74.3659,17.79,77,0,2.06,CA,1687223621
347,swakopmund,-22.6833,14.5333,7.47,76,0,2.87,NA,1687224141
348,turkmenbasy,40.0222,52.9552,22.22,61,0,3.6,TM,1687223630
349,akureyri,65.6835,-18.0878,6.96,87,100,4.12,IS,1687223685
350,pont rouge,48.8833,-72.0825,15.16,91,90,2.44,CA,1687224142
351,montmagny,48.9734,2.3469,19.45,90,20,2.57,FR,1687224142
352,luderitz,-26.6481,15.1594,12.17,84,3,5.81,NA,1687223633
353,mersing,2.4312,103.8405,26.95,94,20,1.54,MY,1687224142
354,mount gambier,-37.8333,140.7667,8.7,69,100,1.76,AU,1687224143
355,tutoia,-2.7619,-42.2744,25.33,88,6,2.47,BR,1687224143
356,kolonia,50.9333,6.95,22.12,72,100,3.09,DE,1687224068
357,kodinar,20.7903,70.7031,29.25,69,100,4.59,IN,1687223689
358,wailea,19.8858,-155.123,27.1,85,100,4.12,US,1687224143
359,marsh harbour,26.5412,-77.0636,28.17,73,12,3.74,BS,1687224143
360,ola,59.5833,151.2833,23.97,73,33,2.72,RU,1687223676
361,cozumel,20.5083,-86.9458,30.04,79,20,3.58,MX,1687224144
362,togur,58.3631,82.8265,13.77,65,99,7.34,RU,1687224144
363,show low,34.2542,-110.0298,26.45,15,0,10.29,US,1687223987
364,nabire,-3.3667,135.4833,29.46,68,10,0.94,ID,1687223678
